,0
10,sweet game i wish i finished it 2 hours faster so i could refund it :0
11,great game worth the 5 dollars definetly reccommend to anyone. the movement in it is just beautiful
12,"Great game, nice controll scheme and great story. Worth more than the price you will be paying"
13,relaxing
14,"good game 

thaTS IT VERY GOOD GAME."
15,BOOOORIIIIINNNGG
16,good
17,"Vintage chocolate chip cookies

Ingredients
150g salted butter, softened
80g light brown muscovado sugar
80g granulated sugar
2 tsp vanilla extract
1 large egg
225g plain flour
½ tsp bicarbonate of soda
¼ tsp salt
200g plain chocolate chips or chunks
Method
STEP 1
Heat the oven to 190C/fan170C/gas 5 and line two baking sheets with non-stick baking paper.

STEP 2
Put 150g softened salted butter, 80g light brown muscovado sugar and 80g granulated sugar into a bowl and beat until creamy.

STEP 3
Beat in 2 tsp vanilla extract and 1 large egg.

STEP 4
Sift 225g plain flour, ½ tsp bicarbonate of soda and ¼ tsp salt into the bowl and mix it in with a wooden spoon.

STEP 5
Add 200g plain chocolate chips or chunks and stir well.

STEP 6
Use a teaspoon to make small scoops of the mixture, spacing them well apart on the baking trays. This mixture should make about 30 cookies.

STEP 7
Bake for 8–10 mins until they are light brown on the edges and still slightly soft in the centre if you press them.

STEP 8
Leave on the tray for a couple of mins to set and then lift onto a cooling rack.

RECIPE TIPS
FREEZING THE BISCUITS
If you’ve frozen the biscuits, take them out and arrange them on a lined baking sheet. Once defrosted, pop them in a medium oven 190C/170 fan/gas mark 5 and heat for 2-3 mins to crisp up. Don’t leave them too long or they’ll dry out.
STORING DOUGH
You can keep the uncooked dough in a sealed container in the fridge for up to two weeks. Simply take some out, dollop on a lined baking tray and allow to come up to room temperature for 5 mins before baking"
18,This is a nice game with great movement mechanics which I have not encountered often playing other games. The story gave me a weirdly nostalgic feeling where I still do not really know where it came from.
19,"7/10
Got this game because I remembered 2016 YouTube channels would ALWAYS play this game... game a vibe doe"
20,Uncle's kinda Sus
21,Fun but short parcore game
22,Short game. Controls could be better imo. I preferred using my ps4 controller over keyboard. Overall art is good. Characters kinda look like ragdolls but it IS a story so I forgive it. I think it is worth playing but I do not intend on replaying it. Worth the time.
23,One of the few games I'd genuinely consider speedrunning. A short but ever sweet story with a gameplay loop that doesn't get old.
24,"i have an uncle too, he dosent fly, he- nevermind"
25,yes
26,"It's a fun little game that I got with a bundle long time ago. Over the years I have played it through on at least 3 or 4 different occasions. It is a very unique game. And it is quite challenging at some places. 

I don't know if I would want to pay more than $5 for it. But the game mechanics are a lot of fun. The story is not particularly deep. But it does make sense."
27,wish i had an uncle
28,leafy game
29,play this game.
30,"GOOD: Really fun platform game with a sweet enjoyable storyline. The gameplay is solid and enjoyable. Great for casual playing and as a chill game.

BAD: The lack of a ""restart level"" or ""skip cutscene"" option makes getting the achievements a massive pain in the arse! You need to go to the main menu and enter the level again and then sit through all the cutscenes you've seen a dozen times already."
31,"GG, but I haven't played it in forever because I got discouraged in the ice cave part because I suck at games XD

Will probably play again at some point tho"
32,"Awesome game. It has an amazing story and is told in such a good way. Its also fun to play, just swinging around and stuff very enjoyable."
33,Ice Cave made me say gamer words
34,"Great game, although very short."
35,A casual game with solid mechanics and beautiful aesthetic that would make you lose yourself playing for a couple of hours. It also has a speedrun mode if you're interested in getting the shortest time for a specific zone.
36,"such a rare gem <3 the mechanics of this game is nearly half the fun, it is just so fun to swing and jump through caves"
37,is nice
38,"This is a story about someone's uncle

now here is my story with this game

it was free and it took 4-5 hours of frustration and determination to beat it and i forgot this existed until now 

Good game ez do play it"
39,My Dreams Be Like
40,"As a bedtime story, a man tells his daughter about the time he went off to search for his uncle on one of his adventures. You play as the man's younger self, equipped with your inventor uncle's various contraptions to navigate the cavelike world he was last known to explore. The devices power up as you go along, to the point that by the end you can cross tremendous distances and soar over great chasms. 

The sensation is both tense and relaxing, like swimming in the air, or maybe a sci-fi twist of swinging on vines like Tarzan. The game feels like a very pleasant medley of other influences too: You've got the [i]Unreal[/i] engine world and physics, with puzzle mechanics and progression like [i]Portal[/i] (a theme with many of the games in my library), a [i]Myst[/i]-like soundtrack and ambience, in a world reminiscent of [i]Journey to the Center of the Earth[/i]. I think Steam recommended this one to me because of one or more of these influences, but I'm not sure.

I played this one because it's one of the shorter ones in my library, with an expected playtime of 3-9 hours. This playthrough took me about 5 hours. I had played once before several years ago, but didn't remember much about it, not even where I stopped. [spoiler](Think it was shortly after meeting Maddy.)[/spoiler] A friend got it because he saw me playing it and [i]he[/i] finished it, but I never got around to finishing it until now. Near the end, your character says of Fred ""If he could do this, I can""; similarly, my friend's winning the game gave me the extra ""It can be done!"" kick I needed to finish this one up.

The puzzles are not usually hard to figure out, but can be tricky to execute. Having a moving keyboard drawer can make them even more difficult. I did get stuck in a few places, but getting unstuck typically just meant hovering the cursor over things until it lit up. I technically didn't complete one puzzle: The game gave me a hint, and then when I failed many times and came close one time, it eventually (kindly) let me progress without fully solving it myself. The achievements tend to be either finishing a level without dying (er, falling, no lives in this game [i]per se[/i]) or doing it under a certain number of moves. If you're a very careful player, you might be able to get these in your first try. ([i]Narrator[/i]: Daniel was [b]not[/b] a careful player.) I would play this game again to try to master the levels enough to get the achievements.

There are also collectibles, which look like seismographs (saying so because the first one I saw I took for a regular prop) and which you can hone in on from their beeping noises. I only unlocked one Unlockable, which was a mode to change my beam color from blue to any custom color of my choice. And I think it happened because I collected X number of collectibles. There's a counter of how many you've collected so far in your Esc menu options. (I didn't see a similar counter for how many grapples you've used, so you may need to count those yourself -- or use as few as you can -- for the achievements.)

Pretty solid game, although I got caught in the geometry a few times. When I got caught, it was usually trying to figure out how to start a puzzle, rather than being in the middle of executing one. This happened in the ice cave level especially, where the geometry is very creative. Fortunately the game has a checkpoint system at fairly frequent intervals, with an option in the Esc menu to restart from the last one passed.

It packs in a lot of story for not being a long game, and does a very good job I felt with the story's closure. It's a nice, quick, fun yet challenging game!"
41,swing.cool
42,Very epic.
43,"First person platformers can be hit and miss but A Story About My Uncle was highly enjoyable for the most part. It had some annoying bits near the end but this was a minor nuisance. My issue near the end was that it became difficult to determine what chunks of ground and rock one could grapple to. I didn’t seem to have this issue before the ice caves level for whatever reason but it meant a lot more deaths than normal. The windmills earlier were also quite finicky. Overall I liked the grappling system as it made me try to plan out a route before taking the first jump. There are also a decent amount of augments you get such as extra grapples; rocket boots; super jumps; and cores that recharge your grapple mid flight. All of this makes you strategize when to use them so you don’t run out mid flight. The story was at times basic but had some promise. You are searching for your missing uncle and need to explore this strange world to find him. My only complaint was that you don’t learn more about the frog people and their history. For instance you get a companion who deciphers glyphs for you but they don’t stick around long and there are plenty of glyphs after that point that I would have liked to know what they meant. The voice acting was very good. There wasn’t much music in the game to judge. The graphics were decent overall. It was never a stunner but had some good art direction. The only bits that I thought looked weak, even for 2014, was the fire; hair and the frog people’s feet. There were also some awkward transitions in the game where it loaded the next section of the game but only had a blank black screen. These transitions only took a couple seconds on my SSD but the first couple made me think maybe the game had frozen. I think adding a “loading” message would have been better. The ending seemed to be a bit flat and weak but I suggest waiting for after the credits when there is a post credits scene which ties things up nicer. 

	I played A Story About My Uncle on Linux. It never crashed and I didn’t notice any bugs. The game saves at checkpoints. Usually I don’t like this over manual saves  but these were spaced out well for the most part and weren’t a big problem. The game has a v-sync toggle; an FOV slider that goes from 60-120; three graphics settings; and three AA settings. I left V-Sync off as the game picked up my 144Hz refresh rate without it. Alt-Tab worked. The performance was very good. There were a couple bits where the frame rate dropped to 58 and 59 but these accounted for a total of about two minutes of my overall play time which was next to nothing. Typically the frame rate was above 80 FPS and was even over 100 FPS for a large chunk as well. I found that a keyboard and mouse worked great for this game which was impressive as platformers can be a mixed bag with them.

Game Engine: Unreal 3
Graphics API: OpenGL
Game Version Played: Build 5188
Disk Space Used: 1.3 GB
Input Used: Keyboard and mouse

Graphics Settings Used:  V-Sync off; FOV 100; all high; motion blur off; 8x AA
GPU Usage: 0-100 %
VRAM Usage: 737-915 MB
CPU Usage: 8-25 %
RAM Usage: 2.2-3.5 GB
Frame Rate: 58-144 FPS

	Overall I think A Story About My Uncle was a solid platformer. If you like games like Valley you should like this. The story and presentation were good and the game play was more fun then nuisance. It had some areas to improve but was still enjoyable. I finished this play through in three hours and six minutes. I think it is worth it’s current price tag of $16.79 CAD. 

My Score: 7.5/10

My System: 

AMD FX-9590 | 16GB DDR3-2133 | XFX RX 590 8GB Fat Boy | Mesa 22.1.4 | Samsung 870 QVO 1TB | Manjaro 21.3.6 | Mate 1.26.0 | Kernel 5.18.14-1-MANJARO | AOC G2460P 1920*1080 @ 144hz"
44,Nice.
45,.
46,when tf did i play this game i dont even remember buying this
47,cool game
48,W
49,ok
50,only an hour in and see this game is great it's a must buy
51,"Short game, enjoyable game mechanics, pretty good story!"
52,"got motion sickness,  and couldn't get attached to the story."
53,"What a sight to behold, never have I thought that a platforming game would bring so much depth and rich story telling."
54,really pretty physics platformer with a mystery to uncover. the characters are charming and it looks very pretty. jumping around and grapple gloving your way through this world is a highly enjoyable experience.
55,"""A short but sweet game."" Truly beautiful if not for visuals but also in gameplay and story-telling. Hell the game starts out as a story being told. 

Cannot believe that when I first bought this I quit right around the corner of the ending of the game. Nearly 5 years later I come back to it."
56,its ok
57,prevurtal sum q nad 10 puti igrata ima 30 minuti content lame af
58,Fun game
59,"It's a short and sweet, charming game with excellent storytelling, movement, (although the boots kinda suck) and a phenomenal score. Though, since it can be completed in under an hour, and that price tag really isn't helping, I just refunded the game after beating it, since 119 minutes translates to under 2 hours. I so wish there was a ""meh"" catagory, because the game really has no replay value."
60,it's ok
61,"[b] Awesome Game 8/10 [/b] 

Fun and relaxing, a good game for in between"
62,Rock Grappler Simulator
63,m
64,on my way to become commentary youtuber #467
65,"Short, beautiful and wholesome. I recommend playing with headphones and listen to the story ;)"
66,uncle is dead
67,"Good game, very cool!"
68,Encontrei-o!
69,Eiffel 65 would love this game.
70,"OK platformer, the usual amount of frustration and skill involved.

Story is hit or miss - you might really dig it or you might not even realise it exists. And the story itself is very much open to interpretation."
71,"I just really like how the chemistry between maddie and the character flows. It really makes us question whether or not the girl that is asking the pappie is the daughter of yourself and maddie. Like did we get freaky in the sheets. Also why did fred abdon us :C.

Furthermore I trurly believe that the graphics for this game are stunning. Something you should about me is that i have severe panic attacks and lemmie tell you when i say the graphics are good i had to question what was real and what was fake. It put in a food coma for three weeks ( i am 350 pounds ( a normal weight btw)).

What really intruiged me was the thought that went into designing this game and the individual character development of all those frog people. Thats another thing i touch upon in this review, fred said he used that pad to send his trash off. So pray tell how were frogs born into humanoids. I'll tell you how, he came on the disposal pad and he pumped a frog full of his cream (with no mercy).

does fred smoke?
does fred hate me and b maddie?
will he ever return?
when will he be back?
will he deliver us from eviiilllll?!



"
72,a story about leafy
73,"A fantastic casual exploration game! 

A Story About My Uncle starts when your daughter asks for a bedtime story. And what better story than you yourself - as a  young boy - discovering a ''portal' to another world, where you track your uncle Fred's footsteps, in hopes of finding him.

Using various mechanic (such as grapple hook, power jump and rocket boots) powered by your uncle's ingenious costume, you are on a lifetime adventure, throughout a mysterious world, discovering only bits of clues of what this mysterious place is, and where your uncle might be.

Don't be fooled - this game is awesome, with intriguing story and really fun mechanics. However, this is very casual adventure platformer - not a story rich game."
74,"[quote=Bongbong Marcos][i]""Hate is not a constructive emotion, walang pupuntahang maganda yan.""[/i][/quote]"
75,"A story about my uncle - красивый красочный платформер, местами выводящий из себя. История у игры есть, причем она очень хорошо прописана, и укладывается в рамки геймплея. Прыгать, летать на магической веревке, летать с помощью гравиботов - все это очень красиво выглядит. Загадки иногда заставляют подумать, особенно если проходить игру на время. Кстати об этом, есть режим, в котором нужно пройти уровень на время, вот этот самый режим - для настоящих хардкорщиков, при прохождении данного режима пятая точка пригорает знатно, но после прохождения всех уровней на золото появляется чувство удовлетворения. Управление в игре простое, так что особых сложностей составить не должно."
76,short but good
77,The gameplay
78,"Great game, was very nice and the story was simple yet captivating. The platforming came second to how mesmerized you were by the overall story and each arc it had. No matter how short they were, it still finished with a perfect ending."
79,That one game that Leafy plays.
80,unkler habiby
81,good :)
82,this the greatest story based game in my opinion i wish there was some second game because this game is just so relaxing and breathtakingly beautiful 42/10
83,Superhuman sim. Cozy storytelling.
84, So my uncle came into my room late at night...
85,"Somehow, at it's peak, this game had 190K concurrent players, but TF2 had 150K, which means at one point more people were playing this game rather than TF2"
86,"⠄⠄⠸⣿⣿⢣⢶⣟⣿⣖⣿⣷⣻⣮⡿⣽⣿⣻⣖⣶⣤⣭⡉⠄⠄⠄⠄⠄
⠄⠄⠄⢹⠣⣛⣣⣭⣭⣭⣁⡛⠻⢽⣿⣿⣿⣿⢻⣿⣿⣿⣽⡧⡄⠄⠄⠄
⠄⠄⠄⠄⣼⣿⣿⣿⣿⣿⣿⣿⣿⣶⣌⡛⢿⣽⢘⣿⣷⣿⡻⠏⣛⣀⠄⠄
⠄⠄⠄⣼⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣦⠙⡅⣿⠚⣡⣴⣿⣿⣿⡆⠄
⠄⠄⣰⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣷⠄⣱⣾⣿⣿⣿⣿⣿⣿⠄
⠄⢀⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⢸⣿⣿⣿⣿⣿⣿⣿⣿⠄
⠄⣸⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⡿⠣⣿⣿⣿⣿⣿⣿⣿⣿⣿⠄
⠄⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⠿⠛⠑⣿⣮⣝⣛⠿⠿⣿⣿⣿⣿⠄
⢠⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣶⠄⠄⠄⠄⣿⣿⣿⣿⣿⣿⣿⣿⣿⡟⠄
⢸⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⠇⠄⠄⠄⠄⢹⣿⣿⣿⣿⣿⣿⣿⣿⠁⠄
⣸⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⠏⠄⠄⠄⠄⠄⠸⣿⣿⣿⣿⣿⡿⢟⣣⣀"
87,"This is a brilliant game. Interesting story, great gameplay. Beautiful visuals."
88,"The game wasn't long, but still it was a very enjoyable experience, give it a try if you want to parkour with some music in the background and imagine that you are a youtube comentator. I'll get all the achievements some day. I got the game thanks to a key from a friend :)"
89,"SHE DIDN'T HAVE TO CUT ME OFF lore song
ti lo recomiendo.
TI te odio fred hijode remiluputas

Ti"
90,"really nice and atmospheric, saw this back in the day and played it big time."
91,Good game
92,"Dodgy spiderman simulator. Very fun. Must play!
"
93,"I  mean its alright i guess. characters models look super ugly to me. Voice acting kinda sucks too. Music is nice though. Gameplay is pretty fun but it can feel super clunky in certain sections. The story also felt kinda meh to me. I'd give it a 6.5, would recommend on sale."
94,"GRAAAAAAAAAAAAAAAAAPLE 


WHY DID I MISCLICK THAT

THERE SHOULDA BEEN A ROCK THERE


GET THIS STUPID BLUE GIRL OFF MY BACK ITS WEIGHING ME DOWN 

WHERE AM I SUPPOSED TO GO"
95,I LOVE SWEDEN
96,"found pops
all good"
97,"It's a nice short platformer.
The story is not really that interesting but the gameplay is fun. Not really hard and you get plenty of checkpoints so it doesn't get frustrating.
My main problem is the price however. For 15 Euros you only get about 2 hours of gameplay on your first playthrough and that time goes down drastically on your second time. I do not recommend this game at full price but if you see it on sale, it's definitely worth it"
98,"Great game. Don't mind the ugly characters, the landscapes are beautiful in game."
99,"This was a fun little physics platformer. I do wish I could have skipped the story parts since they slow the game play and I didn't particularly care what happened in them. I didn't bother exploring or trying to collect anything, as is plain by my lack of achievements to show from the game."
100,I felt like Spider-Man!
101,"Got the game for free, can't recon from where but free is free. 

Tbh game is not a ""normal"" one what you could expect. It's just a Journey with grappling hook but still gives some fun :) Takes around 2hrs to complete but needed like mid tier PC for it the time I was playing it so it was ""slower"". Is it worth buying? Well, depends. If you're able to quit 5 packs of Cheetos then yes 🤣 But not for the full price, take it while it's on sale cause it's a one time ride :) If you're fast enought you can even buy it, play, and get your money back tho xD Highly recommend playing despite its price, it's a nice game :)"
102,excellent game
103,uncle
104,uncle sucked me off
105,"Yo, these achievements are hard AF to get. 

However, this game is a beautiful walk through game with puzzle solving and adventurous leaps."
106,"Finished the game in 2.7 hours. Really enjoyed the platforming and the sweet story and characters. Its certainly worth a buy for its modest price even when not on sale.
7.5/10"
107,the uncle did unspeakable things to me
108,"goodd
"
109,"Unique, breathtaking.
While I'm not a fan of 3D platforming, I loved this game. The story takes you on a journey. Yes it's short, it can be finished in 2 hours but took me closer to 5. But it is worth your time. Consider it a movie. One you'll fall in love with. Maybe not one you'll watch over and over again. But one you'll remember for sure. 

This was something I'd not seen before. It's worth having a look if you haven't yet."
110,good but too short
111,very nicee
112,"swingy swingy like the spider-man.

no but really, this game fucking slaps. super underrated."
113,its been a very long time since I have played it but i finished it without stopping and I liked it a lot.
114,It's a really good game
115,A nice 3d platformer with a grappling hook. What more could you want?
116,such a nice chill game
117,"One of my personal favorite games ever, Amazing story telling, superb graphics and quite literally some of the best mechanics I've seen in a while, I haven't played this game in years and I got a nostalgic feeling just playing it again."
118,pretty fun 3D platformer. Only buy when its on sale tho.
119,Cool  Game
120,"Pretty short game, I would wait for a sale to get it but I recommend getting it. Not much of a story but really great 3D platforming, satisfying progression. Some pretty cool gadgets with great design, the overall environment of the game is pretty.  Although the game is linear you can get through it in a few different ways, if you understand the game mechanics sometimes you can achieve shortcuts that are satisfying. Great for speed running."
121,Relaxing game with breath taking locations and a nice (even if simple) plot.
122,"If it wasn't for the cheats posted somewhere on the internet, I don't think I would have finished this game. Nothing makes sense in it."
123,a little fun game with a cool concept
